sig_id,pert_type,gene_id
XPR013_U251MG.311_96H:F23,trt_xpr,57126
XPR013_U251MG.311_96H:F16,trt_xpr,50489
XPR013_U251MG.311_96H:P22,trt_xpr,50489
XPR013_U251MG.311_96H:F06,trt_xpr,51744
XPR013_U251MG.311_96H:J06,trt_xpr,51744
XPR021_U251MG.311_96H:B09,trt_xpr,1482
XPR021_U251MG.311_96H:P05,trt_xpr,1482
XPR033_U251MG.311_96H:B11,trt_xpr,79923
XPR033_U251MG.311_96H:J07,trt_xpr,79923
XPR015_U251MG.311_96H:G22,trt_xpr,11330
XPR015_U251MG.311_96H:K12,trt_xpr,11330
XPR037_U251MG.311_96H:F06,trt_xpr,2813
XPR037_U251MG.311_96H:J22,trt_xpr,2813
XPR018_U251MG.311_96H:I15,trt_xpr,3596
XPR018_U251MG.311_96H:I21,trt_xpr,3596
XPR018_U251MG.311_96H:G06,trt_xpr,59067
XPR018_U251MG.311_96H:G14,trt_xpr,59067
XPR018_U251MG.311_96H:E06,trt_xpr,50616
XPR018_U251MG.311_96H:M04,trt_xpr,50616
XPR018_U251MG.311_96H:E20,trt_xpr,64806
XPR018_U251MG.311_96H:O24,trt_xpr,64806
XPR018_U251MG.311_96H:A24,trt_xpr,55801
XPR018_U251MG.311_96H:G18,trt_xpr,55801
XPR030_U251MG.311_96H:E18,trt_xpr,4018
XPR030_U251MG.311_96H:K14,trt_xpr,4018
XPR031_U251MG.311_96H:K19,trt_xpr,10562
XPR031_U251MG.311_96H:O17,trt_xpr,10562
XPR036_U251MG.311_96H:C21,trt_xpr,2045
XPR036_U251MG.311_96H:E07,trt_xpr,2045
XPR017_U251MG.311_96H:M10,trt_xpr,8820
XPR017_U251MG.311_96H:O24,trt_xpr,8820
XPR017_U251MG.311_96H:D07,trt_xpr,6928
XPR017_U251MG.311_96H:L15,trt_xpr,6928
XPR030_U251MG.311_96H:L20,trt_xpr,27035
XPR030_U251MG.311_96H:P06,trt_xpr,27035
XPR033_U251MG.311_96H:B12,trt_xpr,50508
XPR033_U251MG.311_96H:P12,trt_xpr,50508
XPR011_U251MG.311_96H:C17,trt_xpr,6795
XPR011_U251MG.311_96H:E07,trt_xpr,6795
XPR029_U251MG.311_96H:I15,trt_xpr,3592
XPR029_U251MG.311_96H:K15,trt_xpr,3592
XPR032_U251MG.311_96H:C18,trt_xpr,3593
XPR032_U251MG.311_96H:G12,trt_xpr,3593
XPR029_U251MG.311_96H:H09,trt_xpr,3605
XPR029_U251MG.311_96H:H11,trt_xpr,3605
XPR033_U251MG.311_96H:N13,trt_xpr,4759
XPR033_U251MG.311_96H:F21,trt_xpr,4759
XPR010_U251MG.311_96H:G18,trt_xpr,338
XPR010_U251MG.311_96H:I22,trt_xpr,338
XPR011_U251MG.311_96H:B20,trt_xpr,350
XPR011_U251MG.311_96H:L08,trt_xpr,350
XPR008_U251MG.311_96H:B07,trt_xpr,27159
XPR008_U251MG.311_96H:N09,trt_xpr,27159
XPR015_U251MG.311_96H:D18,trt_xpr,1673
XPR015_U251MG.311_96H:N24,trt_xpr,1673
XPR037_U251MG.311_96H:B22,trt_xpr,10223
XPR037_U251MG.311_96H:J14,trt_xpr,10223
XPR029_U251MG.311_96H:P05,trt_xpr,2688
XPR029_U251MG.311_96H:P17,trt_xpr,2688
XPR009_U251MG.311_96H:D05,trt_xpr,3458
XPR040_U251MG.311_96H:M22,trt_xpr,3458
XPR009_U251MG.311_96H:L05,trt_xpr,3458
XPR040_U251MG.311_96H:A14,trt_xpr,3458
XPR008_U251MG.311_96H:H04,trt_xpr,2862
XPR008_U251MG.311_96H:J14,trt_xpr,2862
XPR027_U251MG.311_96H:D24,trt_xpr,7032
XPR027_U251MG.311_96H:P20,trt_xpr,7032
XPR030_U251MG.311_96H:J01,trt_xpr,84790
XPR030_U251MG.311_96H:N19,trt_xpr,84790
XPR009_U251MG.311_96H:B21,trt_xpr,335
XPR009_U251MG.311_96H:J07,trt_xpr,335
XPR011_U251MG.311_96H:J12,trt_xpr,344
XPR011_U251MG.311_96H:N14,trt_xpr,344
XPR010_U251MG.311_96H:E09,trt_xpr,2642
XPR010_U251MG.311_96H:K19,trt_xpr,2642
XPR036_U251MG.311_96H:F19,trt_xpr,2712
XPR036_U251MG.311_96H:L23,trt_xpr,2712
XPR018_U251MG.311_96H:K23,trt_xpr,3456
XPR018_U251MG.311_96H:M23,trt_xpr,3456
XPR020_U251MG.311_96H:G07,trt_xpr,4049
XPR020_U251MG.311_96H:O03,trt_xpr,4049
XPR020_U251MG.311_96H:F15,trt_xpr,4241
XPR020_U251MG.311_96H:H01,trt_xpr,4241
XPR008_U251MG.311_96H:D09,trt_xpr,5406
XPR008_U251MG.311_96H:J01,trt_xpr,5406
XPR031_U251MG.311_96H:E02,trt_xpr,5196
XPR031_U251MG.311_96H:K22,trt_xpr,5196
XPR009_U251MG.311_96H:I19,trt_xpr,5644
XPR009_U251MG.311_96H:C01,trt_xpr,5644
XPR015_U251MG.311_96H:A06,trt_xpr,1401
XPR015_U251MG.311_96H:C10,trt_xpr,1401
XPR015_U251MG.311_96H:M06,trt_xpr,1414
XPR015_U251MG.311_96H:M12,trt_xpr,1414
XPR009_U251MG.311_96H:E11,trt_xpr,1644
XPR009_U251MG.311_96H:K21,trt_xpr,1644
XPR017_U251MG.311_96H:J16,trt_xpr,3439
XPR017_U251MG.311_96H:P06,trt_xpr,3439
XPR017_U251MG.311_96H:F16,trt_xpr,3440
XPR017_U251MG.311_96H:P16,trt_xpr,3440
XPR018_U251MG.311_96H:K09,trt_xpr,3441
XPR018_U251MG.311_96H:E01,trt_xpr,3442
XPR018_U251MG.311_96H:G11,trt_xpr,3442
XPR018_U251MG.311_96H:M21,trt_xpr,3444
XPR018_U251MG.311_96H:O23,trt_xpr,3444
XPR018_U251MG.311_96H:E07,trt_xpr,3445
XPR018_U251MG.311_96H:O13,trt_xpr,3445
XPR011_U251MG.311_96H:E09,trt_xpr,5979
XPR011_U251MG.311_96H:K21,trt_xpr,5979
XPR032_U251MG.311_96H:B10,trt_xpr,6476
XPR032_U251MG.311_96H:H14,trt_xpr,6476
XPR025_U251MG.311_96H:A11,trt_xpr,6756
XPR025_U251MG.311_96H:K11,trt_xpr,6756
XPR027_U251MG.311_96H:A18,trt_xpr,7471
XPR027_U251MG.311_96H:M10,trt_xpr,7471
XPR027_U251MG.311_96H:O10,trt_xpr,7473
XPR027_U251MG.311_96H:O24,trt_xpr,7473
XPR044_U251MG.311_96H:B05,trt_xpr,155
XPR010_U251MG.311_96H:I10,trt_xpr,155
XPR010_U251MG.311_96H:O04,trt_xpr,155
XPR044_U251MG.311_96H:B13,trt_xpr,155
XPR044_U251MG.311_96H:D23,trt_xpr,155
XPR044_U251MG.311_96H:L11,trt_xpr,155
XPR044_U251MG.311_96H:L17,trt_xpr,155
XPR044_U251MG.311_96H:P21,trt_xpr,155
XPR011_U251MG.311_96H:F11,trt_xpr,27329
XPR011_U251MG.311_96H:L07,trt_xpr,27329
XPR012_U251MG.311_96H:D18,trt_xpr,56244
XPR012_U251MG.311_96H:J04,trt_xpr,56244
XPR012_U251MG.311_96H:J08,trt_xpr,79908
XPR012_U251MG.311_96H:P20,trt_xpr,79908
XPR033_U251MG.311_96H:C06,trt_xpr,799
XPR033_U251MG.311_96H:A06,trt_xpr,799
XPR017_U251MG.311_96H:B08,trt_xpr,3446
XPR017_U251MG.311_96H:J06,trt_xpr,3446
XPR017_U251MG.311_96H:P14,trt_xpr,3446
XPR017_U251MG.311_96H:D04,trt_xpr,3448
XPR017_U251MG.311_96H:F18,trt_xpr,3448
XPR017_U251MG.311_96H:F20,trt_xpr,3449
XPR017_U251MG.311_96H:J20,trt_xpr,3449
XPR017_U251MG.311_96H:B06,trt_xpr,3451
XPR017_U251MG.311_96H:F08,trt_xpr,3452
XPR017_U251MG.311_96H:N14,trt_xpr,3452
XPR018_U251MG.311_96H:G07,trt_xpr,3452
XPR032_U251MG.311_96H:A09,trt_xpr,51601
XPR032_U251MG.311_96H:G21,trt_xpr,51601
XPR032_U251MG.311_96H:A21,trt_xpr,5443
XPR032_U251MG.311_96H:O21,trt_xpr,5443
XPR035_U251MG.311_96H:D20,trt_xpr,5313
XPR035_U251MG.311_96H:F20,trt_xpr,5313
XPR030_U251MG.311_96H:I15,trt_xpr,1610
XPR030_U251MG.311_96H:M01,trt_xpr,1610
XPR015_U251MG.311_96H:D16,trt_xpr,317781
XPR015_U251MG.311_96H:F02,trt_xpr,317781
XPR011_U251MG.311_96H:H01,trt_xpr,326
XPR011_U251MG.311_96H:L09,trt_xpr,326
XPR008_U251MG.311_96H:F14,trt_xpr,759
XPR008_U251MG.311_96H:N18,trt_xpr,759
XPR030_U251MG.311_96H:B22,trt_xpr,761
XPR030_U251MG.311_96H:P02,trt_xpr,761
XPR010_U251MG.311_96H:E21,trt_xpr,766
XPR010_U251MG.311_96H:I23,trt_xpr,766
XPR016_U251MG.311_96H:H16,trt_xpr,2153
XPR016_U251MG.311_96H:P18,trt_xpr,2153
XPR009_U251MG.311_96H:L19,trt_xpr,1812
XPR009_U251MG.311_96H:N09,trt_xpr,1812
XPR009_U251MG.311_96H:A19,trt_xpr,1813
XPR009_U251MG.311_96H:G17,trt_xpr,1813
XPR010_U251MG.311_96H:K15,trt_xpr,1814
XPR038_U251MG.311_96H:P19,trt_xpr,1814
XPR010_U251MG.311_96H:M13,trt_xpr,1814
XPR038_U251MG.311_96H:P23,trt_xpr,1814
XPR038_U251MG.311_96H:B13,trt_xpr,1814
XPR038_U251MG.311_96H:H07,trt_xpr,1814
XPR038_U251MG.311_96H:J19,trt_xpr,1814
XPR038_U251MG.311_96H:N01,trt_xpr,1814
XPR009_U251MG.311_96H:D10,trt_xpr,1815
XPR009_U251MG.311_96H:F18,trt_xpr,1815
XPR010_U251MG.311_96H:B11,trt_xpr,1816
XPR010_U251MG.311_96H:P05,trt_xpr,1816
XPR036_U251MG.311_96H:E18,trt_xpr,2984
XPR036_U251MG.311_96H:O12,trt_xpr,2984
XPR010_U251MG.311_96H:H23,trt_xpr,8972
XPR010_U251MG.311_96H:L05,trt_xpr,8972
XPR034_U251MG.311_96H:E13,trt_xpr,4620
XPR034_U251MG.311_96H:I07,trt_xpr,4620
XPR009_U251MG.311_96H:H08,trt_xpr,4988
XPR009_U251MG.311_96H:L16,trt_xpr,4988
XPR010_U251MG.311_96H:E17,trt_xpr,5143
XPR010_U251MG.311_96H:M11,trt_xpr,5143
XPR030_U251MG.311_96H:G01,trt_xpr,5145
XPR030_U251MG.311_96H:M17,trt_xpr,5145
XPR032_U251MG.311_96H:C08,trt_xpr,5148
XPR032_U251MG.311_96H:M20,trt_xpr,5148
XPR028_U251MG.311_96H:H17,trt_xpr,5149
XPR028_U251MG.311_96H:L07,trt_xpr,5149
XPR022_U251MG.311_96H:G03,trt_xpr,253143
XPR022_U251MG.311_96H:K09,trt_xpr,253143
XPR023_U251MG.311_96H:H22,trt_xpr,6441
XPR023_U251MG.311_96H:L06,trt_xpr,6441
XPR026_U251MG.311_96H:C02,trt_xpr,7141
XPR026_U251MG.311_96H:G04,trt_xpr,7141
XPR009_U251MG.311_96H:I02,trt_xpr,7054
XPR009_U251MG.311_96H:M14,trt_xpr,7054
XPR034_U251MG.311_96H:K23,trt_xpr,54986
XPR034_U251MG.311_96H:O13,trt_xpr,54986
XPR010_U251MG.311_96H:A11,trt_xpr,148
XPR010_U251MG.311_96H:O09,trt_xpr,148
XPR010_U251MG.311_96H:J23,trt_xpr,146
XPR010_U251MG.311_96H:P09,trt_xpr,146
XPR038_U251MG.311_96H:K22,trt_xpr,151
XPR008_U251MG.311_96H:F16,trt_xpr,151
XPR038_U251MG.311_96H:K14,trt_xpr,151
XPR008_U251MG.311_96H:N14,trt_xpr,151
XPR038_U251MG.311_96H:E12,trt_xpr,151
XPR038_U251MG.311_96H:G02,trt_xpr,151
XPR038_U251MG.311_96H:G12,trt_xpr,151
XPR038_U251MG.311_96H:G22,trt_xpr,151
XPR010_U251MG.311_96H:B07,trt_xpr,763
XPR010_U251MG.311_96H:D23,trt_xpr,763
XPR016_U251MG.311_96H:F04,trt_xpr,2160
XPR016_U251MG.311_96H:L22,trt_xpr,2160
XPR033_U251MG.311_96H:C04,trt_xpr,8288
XPR033_U251MG.311_96H:M24,trt_xpr,8288
XPR030_U251MG.311_96H:I04,trt_xpr,2244
XPR030_U251MG.311_96H:I08,trt_xpr,2244
XPR036_U251MG.311_96H:K07,trt_xpr,64122
XPR036_U251MG.311_96H:K15,trt_xpr,64122
XPR010_U251MG.311_96H:E07,trt_xpr,3274
XPR010_U251MG.311_96H:G11,trt_xpr,3274
XPR008_U251MG.311_96H:N01,trt_xpr,59340
XPR008_U251MG.311_96H:P05,trt_xpr,59340
XPR033_U251MG.311_96H:B05,trt_xpr,54363
XPR033_U251MG.311_96H:F09,trt_xpr,54363
XPR033_U251MG.311_96H:A21,trt_xpr,51179
XPR033_U251MG.311_96H:A19,trt_xpr,51179
XPR008_U251MG.311_96H:J08,trt_xpr,3061
XPR008_U251MG.311_96H:P06,trt_xpr,3061
XPR029_U251MG.311_96H:A20,trt_xpr,3062
XPR029_U251MG.311_96H:M12,trt_xpr,3062
XPR028_U251MG.311_96H:I23,trt_xpr,4543
XPR028_U251MG.311_96H:K11,trt_xpr,4543
XPR008_U251MG.311_96H:H23,trt_xpr,4544
XPR008_U251MG.311_96H:P09,trt_xpr,4544
XPR040_U251MG.311_96H:I21,trt_xpr,4225
XPR020_U251MG.311_96H:F09,trt_xpr,4225
XPR020_U251MG.311_96H:J23,trt_xpr,4225
XPR040_U251MG.311_96H:A07,trt_xpr,4225
XPR040_U251MG.311_96H:C09,trt_xpr,4225
XPR040_U251MG.311_96H:E19,trt_xpr,4225
XPR040_U251MG.311_96H:M11,trt_xpr,4225
XPR033_U251MG.311_96H:I14,trt_xpr,4879
XPR033_U251MG.311_96H:M22,trt_xpr,4879
XPR009_U251MG.311_96H:P14,trt_xpr,50940
XPR009_U251MG.311_96H:P16,trt_xpr,50940
XPR009_U251MG.311_96H:G12,trt_xpr,5241
