gene_id,regulation,tissue_id
23381,AeG,2240
10078,AeG,2037
51107,AeG,2037
3658,AeG,1896
10964,AeG,1891
80347,AeG,1896
3313,AeG,1893
84316,AeG,955
8841,AeG,955
54963,AeG,1891
8844,AeG,1016
9790,AeG,1016
146227,AeG,2037
23163,AeG,1893
5886,AeG,1895
8508,AeG,1891
348094,AeG,955
6571,AeG,45
55331,AeG,1016
126006,AeG,2037
54859,AeG,2037
220992,AeG,1017
801,AeG,1893
54998,AeG,1891
8869,AeG,1017
80760,AeG,2037
55529,AeG,2037
145581,AeG,2037
1938,AeG,1891
375484,AeG,955
55699,AeG,1893
84264,AeG,2298
59339,AeG,1016
23161,AeG,1016
130502,AeG,2037
161,AeG,1891
6271,AeG,2037
81876,AeG,1017
23148,AeG,1016
151636,AeG,1896
5494,AeG,2037
653820,AeG,2037
7353,AeG,2037
1136,AeG,1016
1826,AeG,2037
2517,AeG,2240
1488,AeG,1017
221477,AeG,2240
6334,AeG,1890
11198,AeG,1017
9053,AeG,45
57465,AeG,1891
8312,AeG,1017
117584,AeG,2037
9715,AeG,1890
11019,AeG,1016
2057,AeG,1893
9587,AeG,1891
1718,AeG,955
1128,AeG,1016
9643,AeG,2037
2674,AeG,2240
5154,AeG,2240
126321,AeG,1896
54461,AeG,1896
54812,AeG,2037
84945,AeG,2037
3643,AeG,2037
57513,AeG,1891
3831,AeG,955
54207,AeG,1893
8864,AeG,1890
84457,AeG,1016
2983,AeG,2037
81562,AeG,2240
347734,AeG,2298
8887,AeG,2240
85442,AeG,955
1107,AeG,1890
83716,AeG,1896
9839,AeG,1896
23300,AeG,1017
167153,AeG,1891
94233,AeG,1890
79664,AeG,1891
84807,AeG,955
5193,AeG,1893
375704,AeG,1890
8689,AeG,2240
60496,AeG,2037
23101,AeG,1016
6936,AeG,1896
26493,AeG,1017
8266,AeG,1896
55916,AeG,955
85235,AeG,1890
2817,AeG,1017
2887,AeG,1893
729230,AeG,2240
1499,AeG,1895
5775,AeG,1016
2617,AeG,1891
55974,AeG,2298
55666,AeG,1017
22891,AeG,1896
7278,AeG,1893
4803,AeG,1893
9524,AeG,1016
1386,AeG,2298
84735,AeG,1890
