gene,relationship,MF
5036,GpMF,GO:0031625
64344,GpMF,GO:0000989
4088,GpMF,GO:0043130
26035,GpMF,GO:0016857
10165,GpMF,GO:0015179
349075,GpMF,GO:0001159
2200,GpMF,GO:0005201
408186,GpMF,GO:0004857
8701,GpMF,GO:0016818
729025,GpMF,GO:0022804
8804,GpMF,GO:0008134
11078,GpMF,GO:0003779
51156,GpMF,GO:0004866
23598,GpMF,GO:0000978
113510,GpMF,GO:0017111
339390,GpMF,GO:0001871
4855,GpMF,GO:0046982
23512,GpMF,GO:0043566
8644,GpMF,GO:0004745
23645,GpMF,GO:0019900
2346,GpMF,GO:0004180
114780,GpMF,GO:0022890
165545,GpMF,GO:0008186
3270,GpMF,GO:0044325
3119,GpMF,GO:0032395
6585,GpMF,GO:0005539
4602,GpMF,GO:0071987
64745,GpMF,GO:0008168
301,GpMF,GO:0016817
121260,GpMF,GO:0015291
3192,GpMF,GO:0044212
4249,GpMF,GO:0008194
55800,GpMF,GO:0022838
27128,GpMF,GO:0005086
7077,GpMF,GO:0061135
496,GpMF,GO:0042626
5422,GpMF,GO:0016788
1795,GpMF,GO:0017124
9824,GpMF,GO:0030695
26013,GpMF,GO:0003682
26292,GpMF,GO:0000989
6595,GpMF,GO:0016462
9854,GpMF,GO:0043559
959,GpMF,GO:0005125
5449,GpMF,GO:0000981
6528,GpMF,GO:0022890
170302,GpMF,GO:0003705
404037,GpMF,GO:0005540
2832,GpMF,GO:0033218
51367,GpMF,GO:0004549
119180,GpMF,GO:0004553
9219,GpMF,GO:0000987
2022,GpMF,GO:0005072
4646,GpMF,GO:0017111
7355,GpMF,GO:0005402
639,GpMF,GO:0001012
2145,GpMF,GO:0008168
4052,GpMF,GO:0019955
6532,GpMF,GO:0015370
51458,GpMF,GO:0022891
57647,GpMF,GO:0016818
5930,GpMF,GO:0061630
7422,GpMF,GO:0030545
29763,GpMF,GO:0008289
7639,GpMF,GO:0001067
2120,GpMF,GO:0001077
9922,GpMF,GO:0008289
23061,GpMF,GO:0005096
8941,GpMF,GO:0019887
11275,GpMF,GO:0003779
2515,GpMF,GO:0070011
3798,GpMF,GO:0003774
373,GpMF,GO:0005525
5424,GpMF,GO:0004518
65121,GpMF,GO:0008134
6584,GpMF,GO:0008509
2998,GpMF,GO:0004373
160518,GpMF,GO:0072509
8828,GpMF,GO:0008201
55163,GpMF,GO:0016641
57148,GpMF,GO:0030695
8725,GpMF,GO:0001104
1022,GpMF,GO:0016817
22858,GpMF,GO:0004672
29107,GpMF,GO:0051020
1635,GpMF,GO:0019239
5309,GpMF,GO:1990837
8382,GpMF,GO:0016301
834,GpMF,GO:0061134
1797,GpMF,GO:0016817
54363,GpMF,GO:0003973
1876,GpMF,GO:0000989
85463,GpMF,GO:0004518
5520,GpMF,GO:0016788
2637,GpMF,GO:0001067
221391,GpMF,GO:0004930
1555,GpMF,GO:0016705
23210,GpMF,GO:0016706
