gene_from,relationship,gene_to
390155,ACTIVATION,285093
83597,ACTIVATION,122740
2793,ACTIVATION,1132
1311,ACTIVATION,3693
6374,ACTIVATION,3579
729238,ACTIVATION,2627
114,ACTIVATION,5578
23683,ACTIVATION,5908
27042,ACTIVATION,51388
650,ACTIVATION,1482
8480,ACTIVATION,8683
4909,ACTIVATION,1956
390648,ACTIVATION,83597
2792,ACTIVATION,115
2056,ACTIVATION,3454
3326,ACTIVATION,140735
390321,ACTIVATION,285093
3451,ACTIVATION,3563
23521,ACTIVATION,22894
51588,ACTIVATION,7157
151246,ACTIVATION,23122
2099,ACTIVATION,51807
53358,ACTIVATION,3815
5737,ACTIVATION,2769
2788,ACTIVATION,219482
6370,ACTIVATION,1232
2773,ACTIVATION,2550
85480,ACTIVATION,3598
7409,ACTIVATION,2206
6464,ACTIVATION,7066
8331,ACTIVATION,8342
2770,ACTIVATION,8843
219986,ACTIVATION,2788
220134,ACTIVATION,2491
5111,ACTIVATION,1647
219417,ACTIVATION,221035
6357,ACTIVATION,729230
8772,ACTIVATION,4214
2002,ACTIVATION,2353
390265,ACTIVATION,83597
4854,ACTIVATION,83464
117246,ACTIVATION,11103
127068,ACTIVATION,7905
10645,ACTIVATION,5571
1666,ACTIVATION,5579
138882,ACTIVATION,7905
64108,ACTIVATION,26696
6009,ACTIVATION,6198
9793,ACTIVATION,151246
11103,ACTIVATION,6187
382,ACTIVATION,50618
332,ACTIVATION,57082
3551,ACTIVATION,5170
5578,ACTIVATION,5338
2774,ACTIVATION,390142
26496,ACTIVATION,285093
7852,ACTIVATION,2919
9984,ACTIVATION,23279
5500,ACTIVATION,5925
79003,ACTIVATION,348995
857,ACTIVATION,2885
2719,ACTIVATION,7481
3265,ACTIVATION,4909
10726,ACTIVATION,3619
5617,ACTIVATION,3598
5905,ACTIVATION,79682
3481,ACTIVATION,5159
5903,ACTIVATION,2733
140735,ACTIVATION,81565
5604,ACTIVATION,4214
83597,ACTIVATION,284433
2249,ACTIVATION,1956
65055,ACTIVATION,26533
211,ACTIVATION,10498
390883,ACTIVATION,285093
4793,ACTIVATION,440275
441933,ACTIVATION,221035
4176,ACTIVATION,8317
51135,ACTIVATION,3665
6233,ACTIVATION,8027
3619,ACTIVATION,701
221035,ACTIVATION,442361
3600,ACTIVATION,5159
196883,ACTIVATION,208
5822,ACTIVATION,51077
23421,ACTIVATION,1783
2769,ACTIVATION,887
81466,ACTIVATION,80346
79023,ACTIVATION,5527
672,ACTIVATION,2071
5905,ACTIVATION,57551
51764,ACTIVATION,390431
3572,ACTIVATION,3578
6002,ACTIVATION,2770
79902,ACTIVATION,6432
2811,ACTIVATION,3018
1386,ACTIVATION,5587
3558,ACTIVATION,1441
2251,ACTIVATION,2264
8338,ACTIVATION,6688
1062,ACTIVATION,5905
9282,ACTIVATION,9370
3598,ACTIVATION,3565
54145,ACTIVATION,10051
51308,ACTIVATION,390429
5925,ACTIVATION,6667
93973,ACTIVATION,1643
4306,ACTIVATION,93661
10762,ACTIVATION,84271
64764,ACTIVATION,10000
79682,ACTIVATION,11004
55766,ACTIVATION,6688
65055,ACTIVATION,283189
5295,ACTIVATION,867
5159,ACTIVATION,2252
25936,ACTIVATION,5515
147111,ACTIVATION,54757
83597,ACTIVATION,390079
6498,ACTIVATION,1387
151648,ACTIVATION,9735
88745,ACTIVATION,6207
7508,ACTIVATION,7528
4331,ACTIVATION,545
4670,ACTIVATION,5435
221035,ACTIVATION,219438
1398,ACTIVATION,3676
23511,ACTIVATION,9631
92840,ACTIVATION,441639
10945,ACTIVATION,10928
328,ACTIVATION,8505
56975,ACTIVATION,1114
3689,ACTIVATION,3384
55970,ACTIVATION,146850
5580,ACTIVATION,114
51143,ACTIVATION,81565
1780,ACTIVATION,5526
8349,ACTIVATION,94239
2792,ACTIVATION,5562
5441,ACTIVATION,5434
8342,ACTIVATION,3674
6117,ACTIVATION,3486
57122,ACTIVATION,23421
79707,ACTIVATION,22894
3460,ACTIVATION,282617
28514,ACTIVATION,4853
6209,ACTIVATION,1983
8202,ACTIVATION,5567
221035,ACTIVATION,2782
9564,ACTIVATION,3688
80776,ACTIVATION,84643
5649,ACTIVATION,5747
6201,ACTIVATION,2091
474382,ACTIVATION,5925
26523,ACTIVATION,3013
5734,ACTIVATION,3553
5829,ACTIVATION,4638
5618,ACTIVATION,11009
344892,ACTIVATION,283189
6688,ACTIVATION,2623
344,ACTIVATION,337
2782,ACTIVATION,120776
9184,ACTIVATION,57405
6256,ACTIVATION,27242
8074,ACTIVATION,4893
27329,ACTIVATION,338328
221035,ACTIVATION,219865
3665,ACTIVATION,1387
3718,ACTIVATION,3595
120775,ACTIVATION,344892
158131,ACTIVATION,132112
10681,ACTIVATION,9254
8091,ACTIVATION,5925
4352,ACTIVATION,29949
8772,ACTIVATION,355
2264,ACTIVATION,4254
3091,ACTIVATION,6774
64708,ACTIVATION,7528
55756,ACTIVATION,29101
196883,ACTIVATION,2793
27330,ACTIVATION,5500
8556,ACTIVATION,25847
8555,ACTIVATION,8697
3597,ACTIVATION,3452
2491,ACTIVATION,6396
344892,ACTIVATION,390275
4277,ACTIVATION,100528032
84128,ACTIVATION,51602
8439,ACTIVATION,7124
940,ACTIVATION,942
10498,ACTIVATION,335
27005,ACTIVATION,8717
1977,ACTIVATION,538
2033,ACTIVATION,1386
8516,ACTIVATION,3908
6822,ACTIVATION,1387
83732,ACTIVATION,114049
3558,ACTIVATION,3572
2044,ACTIVATION,5921
388585,ACTIVATION,4853
3791,ACTIVATION,2252
6924,ACTIVATION,55215
3600,ACTIVATION,149233
1050,ACTIVATION,10499
51422,ACTIVATION,2793
2247,ACTIVATION,9232
389541,ACTIVATION,51606
3845,ACTIVATION,5863
1783,ACTIVATION,81565
3451,ACTIVATION,3566
5567,ACTIVATION,5348
26689,ACTIVATION,65055
2767,ACTIVATION,5322
405,ACTIVATION,2056
6558,ACTIVATION,3784
5335,ACTIVATION,7410
9564,ACTIVATION,5781
25782,ACTIVATION,84516
5469,ACTIVATION,4199
336,ACTIVATION,79718
23112,ACTIVATION,2033
23160,ACTIVATION,6210
3594,ACTIVATION,3593
1063,ACTIVATION,79682
10062,ACTIVATION,8204
96764,ACTIVATION,54600
10945,ACTIVATION,26286
107,ACTIVATION,801
4660,ACTIVATION,10398
3567,ACTIVATION,5156
10663,ACTIVATION,2921
5880,ACTIVATION,27
55860,ACTIVATION,2908
10813,ACTIVATION,6194
801,ACTIVATION,5567
5394,ACTIVATION,6208
2066,ACTIVATION,6654
2778,ACTIVATION,2740
5924,ACTIVATION,2787
5256,ACTIVATION,5836
64708,ACTIVATION,29844
85441,ACTIVATION,4862
1374,ACTIVATION,5469
55746,ACTIVATION,10250
834,ACTIVATION,837
2769,ACTIVATION,5288
5525,ACTIVATION,991
7249,ACTIVATION,5562
6885,ACTIVATION,7188
7187,ACTIVATION,9641
7422,ACTIVATION,5290
8392,ACTIVATION,51308
283748,ACTIVATION,2771
1376,ACTIVATION,23054
5527,ACTIVATION,54820
5111,ACTIVATION,57804
3590,ACTIVATION,1443
3977,ACTIVATION,1270
5427,ACTIVATION,4175
545,ACTIVATION,2966
1387,ACTIVATION,3661
2790,ACTIVATION,1815
5435,ACTIVATION,55215
2491,ACTIVATION,1780
1131,ACTIVATION,9630
64108,ACTIVATION,390271
5533,ACTIVATION,51806
7476,ACTIVATION,4041
3672,ACTIVATION,5977
2222,ACTIVATION,96764
1949,ACTIVATION,2049
27341,ACTIVATION,6203
26740,ACTIVATION,80346
4686,ACTIVATION,23511
5747,ACTIVATION,3681
4843,ACTIVATION,6774
88745,ACTIVATION,23517
5728,ACTIVATION,3688
1944,ACTIVATION,5156
6199,ACTIVATION,2099
2776,ACTIVATION,22808
127062,ACTIVATION,2788
8655,ACTIVATION,54821
5594,ACTIVATION,1956
10497,ACTIVATION,9256
5332,ACTIVATION,5579
3459,ACTIVATION,51561
1983,ACTIVATION,6227
3570,ACTIVATION,5604
1399,ACTIVATION,2261
192670,ACTIVATION,4297
6907,ACTIVATION,948
7157,ACTIVATION,10419
219438,ACTIVATION,221035
2071,ACTIVATION,8178
5440,ACTIVATION,6827
51764,ACTIVATION,56656
9688,ACTIVATION,4928
26740,ACTIVATION,2774
50616,ACTIVATION,5159
140735,ACTIVATION,23421
6232,ACTIVATION,5903
1969,ACTIVATION,3481
55813,ACTIVATION,4691
468,ACTIVATION,207
2550,ACTIVATION,94235
390436,ACTIVATION,344892
121130,ACTIVATION,65055
23411,ACTIVATION,6720
7478,ACTIVATION,139285
221035,ACTIVATION,81696
7472,ACTIVATION,64840
8503,ACTIVATION,5879
5568,ACTIVATION,2099
1778,ACTIVATION,984
401541,ACTIVATION,348995
219417,ACTIVATION,51308
79023,ACTIVATION,64105
390275,ACTIVATION,2788
83597,ACTIVATION,119774
5440,ACTIVATION,80004
6633,ACTIVATION,8021
2826,ACTIVATION,3717
8480,ACTIVATION,84321
55054,ACTIVATION,10392
3643,ACTIVATION,2069
2782,ACTIVATION,219986
80346,ACTIVATION,138805
5563,ACTIVATION,81617
55766,ACTIVATION,192670
5601,ACTIVATION,94235
51308,ACTIVATION,119774
91860,ACTIVATION,5566
3430,ACTIVATION,10379
5829,ACTIVATION,6385
817,ACTIVATION,6332
5568,ACTIVATION,1386
65083,ACTIVATION,55813
51764,ACTIVATION,219869
79473,ACTIVATION,132112
7905,ACTIVATION,282763
22894,ACTIVATION,6146
2274,ACTIVATION,6907
81930,ACTIVATION,348995
2597,ACTIVATION,2099
5602,ACTIVATION,2002
2264,ACTIVATION,7423
672,ACTIVATION,29893
5568,ACTIVATION,5256
1060,ACTIVATION,9735
23165,ACTIVATION,6635
131873,ACTIVATION,3694
192670,ACTIVATION,7157
91782,ACTIVATION,440738
5923,ACTIVATION,11200
6637,ACTIVATION,23225
51384,ACTIVATION,64840
54820,ACTIVATION,5519
22984,ACTIVATION,84135
6655,ACTIVATION,22800
6324,ACTIVATION,5566
390442,ACTIVATION,2788
2155,ACTIVATION,2159
5295,ACTIVATION,3717
834,ACTIVATION,397
6907,ACTIVATION,51129
120775,ACTIVATION,2774
3654,ACTIVATION,3665
11004,ACTIVATION,83540
440275,ACTIVATION,468
3691,ACTIVATION,1299
3688,ACTIVATION,3912
3017,ACTIVATION,4609
117246,ACTIVATION,10199
3655,ACTIVATION,5747
285093,ACTIVATION,81309
79980,ACTIVATION,9183
7855,ACTIVATION,7475
5908,ACTIVATION,7074
7040,ACTIVATION,2353
55166,ACTIVATION,348995
3439,ACTIVATION,1438
151246,ACTIVATION,51143
23236,ACTIVATION,846
55327,ACTIVATION,6571
6232,ACTIVATION,10199
149233,ACTIVATION,282618
1982,ACTIVATION,841
2965,ACTIVATION,55215
387,ACTIVATION,826
55272,ACTIVATION,84916
401541,ACTIVATION,80152
6654,ACTIVATION,3479
25833,ACTIVATION,1459
23220,ACTIVATION,55851
10403,ACTIVATION,91687
64108,ACTIVATION,81458
4920,ACTIVATION,1175
3976,ACTIVATION,3460
285093,ACTIVATION,127066
6720,ACTIVATION,6095
59350,ACTIVATION,6013
106821730,ACTIVATION,5881
25999,ACTIVATION,6233
3447,ACTIVATION,3460
3817,ACTIVATION,3017
58985,ACTIVATION,53342
221035,ACTIVATION,138799
83667,ACTIVATION,5562
1020,ACTIVATION,5604
10403,ACTIVATION,7514
4994,ACTIVATION,344892
92105,ACTIVATION,51585
9785,ACTIVATION,55706
6194,ACTIVATION,6234
1212,ACTIVATION,8853
8021,ACTIVATION,84271
5159,ACTIVATION,85480
4927,ACTIVATION,23511
2782,ACTIVATION,81442
84128,ACTIVATION,84916
57678,ACTIVATION,865
5590,ACTIVATION,5595
26696,ACTIVATION,285093
2914,ACTIVATION,2768
3569,ACTIVATION,2690
51764,ACTIVATION,219968
23236,ACTIVATION,2261
7294,ACTIVATION,5290
5291,ACTIVATION,2770
7175,ACTIVATION,6431
6256,ACTIVATION,4023
3592,ACTIVATION,163702
390649,ACTIVATION,132112
283111,ACTIVATION,7905
3456,ACTIVATION,6597
840,ACTIVATION,355
8331,ACTIVATION,8340
1453,ACTIVATION,6193
2324,ACTIVATION,5291
2255,ACTIVATION,1436
402135,ACTIVATION,51308
4804,ACTIVATION,27006
219437,ACTIVATION,2788
403274,ACTIVATION,92840
991,ACTIVATION,25936
3676,ACTIVATION,1277
91687,ACTIVATION,9212
7855,ACTIVATION,1856
3458,ACTIVATION,3560
9575,ACTIVATION,1407
9631,ACTIVATION,7884
5579,ACTIVATION,9542
338755,ACTIVATION,80346
5500,ACTIVATION,5934
3456,ACTIVATION,3716
9466,ACTIVATION,3578
984,ACTIVATION,9814
140735,ACTIVATION,23122
5500,ACTIVATION,9475
1781,ACTIVATION,22931
7157,ACTIVATION,27161
85441,ACTIVATION,335
283159,ACTIVATION,65055
673,ACTIVATION,5605
9631,ACTIVATION,4927
5747,ACTIVATION,3680
5568,ACTIVATION,108
343406,ACTIVATION,65055
2091,ACTIVATION,6203
3643,ACTIVATION,2251
92840,ACTIVATION,10798
6193,ACTIVATION,1983
2550,ACTIVATION,51738
2788,ACTIVATION,346525
1453,ACTIVATION,8851
9630,ACTIVATION,10287
7057,ACTIVATION,8345
3977,ACTIVATION,282618
5566,ACTIVATION,481
79760,ACTIVATION,8086
5568,ACTIVATION,2737
1983,ACTIVATION,6234
59,ACTIVATION,2648
23636,ACTIVATION,10921
343173,ACTIVATION,80346
57082,ACTIVATION,11130
2778,ACTIVATION,3361
2590,ACTIVATION,22931
27341,ACTIVATION,6232
3725,ACTIVATION,8809
3381,ACTIVATION,3690
79019,ACTIVATION,5528
6721,ACTIVATION,4047
2260,ACTIVATION,8822
1387,ACTIVATION,11317
219983,ACTIVATION,83597
4199,ACTIVATION,96764
2736,ACTIVATION,8643
58,ACTIVATION,5290
3459,ACTIVATION,3449
1073,ACTIVATION,85464
6217,ACTIVATION,65083
387,ACTIVATION,55738
2353,ACTIVATION,2939
140735,ACTIVATION,80776
10618,ACTIVATION,56975
9180,ACTIVATION,1440
4176,ACTIVATION,5426
282775,ACTIVATION,2788
5526,ACTIVATION,89780
5602,ACTIVATION,2355
7905,ACTIVATION,389090
23636,ACTIVATION,6635
2043,ACTIVATION,25
10850,ACTIVATION,1235
11130,ACTIVATION,83540
11258,ACTIVATION,2908
347169,ACTIVATION,2774
64786,ACTIVATION,23710
2782,ACTIVATION,114
3949,ACTIVATION,255738
983,ACTIVATION,1647
3351,ACTIVATION,51738
5528,ACTIVATION,89780
3627,ACTIVATION,1233
11317,ACTIVATION,2648
54757,ACTIVATION,338
9212,ACTIVATION,64105
6249,ACTIVATION,79682
5364,ACTIVATION,54910
8655,ACTIVATION,9183
207,ACTIVATION,5528
2771,ACTIVATION,255189
2767,ACTIVATION,30814
8390,ACTIVATION,221035
8602,ACTIVATION,25926
5518,ACTIVATION,81565
4087,ACTIVATION,130399
3445,ACTIVATION,3581
3516,ACTIVATION,2324
84128,ACTIVATION,4809
5557,ACTIVATION,8317
10488,ACTIVATION,25865
81300,ACTIVATION,2788
60,ACTIVATION,5886
1439,ACTIVATION,1442
80346,ACTIVATION,343172
6208,ACTIVATION,79050
7414,ACTIVATION,71
5501,ACTIVATION,5593
64108,ACTIVATION,26189
7450,ACTIVATION,2159
4637,ACTIVATION,340156
80152,ACTIVATION,57082
2868,ACTIVATION,2792
2208,ACTIVATION,3516
151246,ACTIVATION,5528
348995,ACTIVATION,332
151246,ACTIVATION,699
163702,ACTIVATION,1489
55920,ACTIVATION,57082
83597,ACTIVATION,120796
5154,ACTIVATION,2064
80346,ACTIVATION,26686
2811,ACTIVATION,58508
4809,ACTIVATION,6201
5600,ACTIVATION,5602
57690,ACTIVATION,8085
2091,ACTIVATION,55131
3921,ACTIVATION,1454
4089,ACTIVATION,10664
5527,ACTIVATION,57122
348995,ACTIVATION,5529
4609,ACTIVATION,5603
3695,ACTIVATION,7450
8655,ACTIVATION,7514
57405,ACTIVATION,348995
5465,ACTIVATION,5594
2246,ACTIVATION,83888
5156,ACTIVATION,1950
6950,ACTIVATION,582
4809,ACTIVATION,84135
2782,ACTIVATION,3351
26716,ACTIVATION,344892
81309,ACTIVATION,83597
1236,ACTIVATION,2770
2791,ACTIVATION,5331
65268,ACTIVATION,6233
51065,ACTIVATION,57647
6373,ACTIVATION,3579
2782,ACTIVATION,390195
55055,ACTIVATION,5347
55143,ACTIVATION,23332
4094,ACTIVATION,3586
23636,ACTIVATION,79902
3595,ACTIVATION,3586
84057,ACTIVATION,472
125962,ACTIVATION,92840
6827,ACTIVATION,1022
79317,ACTIVATION,51308
10125,ACTIVATION,22800
54908,ACTIVATION,79980
1759,ACTIVATION,7099
5528,ACTIVATION,79980
23112,ACTIVATION,3276
3802,ACTIVATION,3107
4735,ACTIVATION,80184
221035,ACTIVATION,81341
23538,ACTIVATION,285093
51308,ACTIVATION,390199
11021,ACTIVATION,57465
5048,ACTIVATION,9793
8312,ACTIVATION,4040
26341,ACTIVATION,344892
8322,ACTIVATION,50855
713,ACTIVATION,716
2774,ACTIVATION,121275
4928,ACTIVATION,57122
5599,ACTIVATION,2790
54331,ACTIVATION,55811
1856,ACTIVATION,5515
2769,ACTIVATION,5330
6416,ACTIVATION,6885
57405,ACTIVATION,3796
1133,ACTIVATION,2778
7905,ACTIVATION,347169
5294,ACTIVATION,2788
7422,ACTIVATION,2033
341416,ACTIVATION,344892
2719,ACTIVATION,54757
6709,ACTIVATION,826
5296,ACTIVATION,22800
56655,ACTIVATION,8317
9136,ACTIVATION,51065
972,ACTIVATION,1508
2782,ACTIVATION,4543
5578,ACTIVATION,2786
54820,ACTIVATION,5527
3725,ACTIVATION,5970
6654,ACTIVATION,1489
207,ACTIVATION,5164
2778,ACTIVATION,2912
55844,ACTIVATION,1813
348995,ACTIVATION,1062
675,ACTIVATION,5889
6152,ACTIVATION,5394
7073,ACTIVATION,5432
8738,ACTIVATION,9448
7535,ACTIVATION,7305
7976,ACTIVATION,2775
23160,ACTIVATION,88745
2033,ACTIVATION,5105
8342,ACTIVATION,3013
2774,ACTIVATION,391211
5528,ACTIVATION,5568
132112,ACTIVATION,79339
8399,ACTIVATION,2767
4893,ACTIVATION,9610
3109,ACTIVATION,972
132112,ACTIVATION,135924
122748,ACTIVATION,285093
3691,ACTIVATION,1280
1438,ACTIVATION,3446
5054,ACTIVATION,4087
336,ACTIVATION,96764
4862,ACTIVATION,1387
54555,ACTIVATION,6194
34,ACTIVATION,5469
7984,ACTIVATION,394
116444,ACTIVATION,5568
5565,ACTIVATION,2787
116832,ACTIVATION,23517
1780,ACTIVATION,79172
4791,ACTIVATION,351
23421,ACTIVATION,79902
57050,ACTIVATION,6205
392392,ACTIVATION,83597
6772,ACTIVATION,3454
399694,ACTIVATION,5747
2064,ACTIVATION,284
64105,ACTIVATION,3619
4331,ACTIVATION,6886
55746,ACTIVATION,1058
10813,ACTIVATION,6229
3106,ACTIVATION,8302
8573,ACTIVATION,8224
57122,ACTIVATION,55339
100137049,ACTIVATION,2768
4040,ACTIVATION,7472
4283,ACTIVATION,1524
156,ACTIVATION,5731
3265,ACTIVATION,9462
6778,ACTIVATION,2625
7249,ACTIVATION,10542
1387,ACTIVATION,4654
7905,ACTIVATION,390155
51164,ACTIVATION,22931
7010,ACTIVATION,23236
2255,ACTIVATION,2248
151246,ACTIVATION,9793
1080,ACTIVATION,5567
51764,ACTIVATION,26245
2788,ACTIVATION,81797
26279,ACTIVATION,5595
64946,ACTIVATION,11004
51308,ACTIVATION,285659
23310,ACTIVATION,10592
113878,ACTIVATION,4853
390882,ACTIVATION,221035
9212,ACTIVATION,1783
79228,ACTIVATION,23165
6427,ACTIVATION,6629
54845,ACTIVATION,5440
7490,ACTIVATION,9093
2688,ACTIVATION,1441
1846,ACTIVATION,5595
5170,ACTIVATION,5293
2962,ACTIVATION,9656
1781,ACTIVATION,25936
11130,ACTIVATION,22919
119694,ACTIVATION,80346
6194,ACTIVATION,84916
468,ACTIVATION,27330
6755,ACTIVATION,2770
91860,ACTIVATION,5924
11091,ACTIVATION,27327
344892,ACTIVATION,285659
2773,ACTIVATION,51655
147841,ACTIVATION,55746
401665,ACTIVATION,285093
79760,ACTIVATION,5903
3914,ACTIVATION,3685
64108,ACTIVATION,127064
2309,ACTIVATION,57690
23165,ACTIVATION,10189
339122,ACTIVATION,57511
3460,ACTIVATION,3952
9656,ACTIVATION,5430
151246,ACTIVATION,54908
64108,ACTIVATION,26532
285093,ACTIVATION,219417
694,ACTIVATION,8208
6696,ACTIVATION,3676
51308,ACTIVATION,219874
51308,ACTIVATION,390883
7905,ACTIVATION,4992
3107,ACTIVATION,3824
219464,ACTIVATION,285093
545,ACTIVATION,8812
8021,ACTIVATION,65109
390275,ACTIVATION,65055
1508,ACTIVATION,972
8822,ACTIVATION,4233
25936,ACTIVATION,57551
11336,ACTIVATION,9847
50807,ACTIVATION,1211
10298,ACTIVATION,5881
6232,ACTIVATION,998
23122,ACTIVATION,5515
163702,ACTIVATION,3451
8660,ACTIVATION,5296
1783,ACTIVATION,9183
7852,ACTIVATION,6357
9847,ACTIVATION,10640
3587,ACTIVATION,3448
2774,ACTIVATION,390174
3914,ACTIVATION,8516
5908,ACTIVATION,369
3443,ACTIVATION,3594
8480,ACTIVATION,6427
595,ACTIVATION,6774
