gene_from,relationship,gene_to
25793,INHIBITION,55208
158131,INHIBITION,5566
26234,INHIBITION,54951
3397,INHIBITION,7057
9254,INHIBITION,5522
3725,INHIBITION,4792
974,INHIBITION,55824
50833,INHIBITION,63940
4140,INHIBITION,8844
8454,INHIBITION,25793
3725,INHIBITION,4023
5567,INHIBITION,343169
1191,INHIBITION,729
1869,INHIBITION,595
153129,INHIBITION,1978
6392,INHIBITION,10131
23216,INHIBITION,5563
8970,INHIBITION,192669
2793,INHIBITION,196883
409,INHIBITION,392392
5567,INHIBITION,26341
2962,INHIBITION,3187
156,INHIBITION,8386
3716,INHIBITION,3570
1259,INHIBITION,810
6423,INHIBITION,2535
8453,INHIBITION,150684
23142,INHIBITION,93611
5520,INHIBITION,785
408,INHIBITION,283111
5434,INHIBITION,5432
782,INHIBITION,5529
2322,INHIBITION,6688
51701,INHIBITION,100132074
55294,INHIBITION,115290
2998,INHIBITION,53632
3449,INHIBITION,7297
9040,INHIBITION,144699
81029,INHIBITION,6424
8340,INHIBITION,7343
26086,INHIBITION,151
84259,INHIBITION,55336
5879,INHIBITION,998
25793,INHIBITION,144699
55208,INHIBITION,54165
8660,INHIBITION,2475
29924,INHIBITION,6453
284521,INHIBITION,5566
5795,INHIBITION,3123
10533,INHIBITION,8844
5594,INHIBITION,2022
122740,INHIBITION,5566
5568,INHIBITION,79473
126006,INHIBITION,6376
120776,INHIBITION,408
390081,INHIBITION,157
5440,INHIBITION,10772
6497,INHIBITION,4089
29924,INHIBITION,8322
5501,INHIBITION,27102
64682,INHIBITION,10744
196335,INHIBITION,408
5747,INHIBITION,5577
157,INHIBITION,338675
5566,INHIBITION,120796
839,INHIBITION,4000
5525,INHIBITION,208
408,INHIBITION,391211
3569,INHIBITION,6774
865,INHIBITION,1493
3516,INHIBITION,9612
8851,INHIBITION,995
4049,INHIBITION,330
5970,INHIBITION,5465
55208,INHIBITION,6921
583,INHIBITION,2847
983,INHIBITION,2697
5727,INHIBITION,2737
1258,INHIBITION,801
10681,INHIBITION,29899
408,INHIBITION,81797
26245,INHIBITION,409
341799,INHIBITION,5568
5567,INHIBITION,4718
408,INHIBITION,81318
26086,INHIBITION,6364
27327,INHIBITION,8334
7077,INHIBITION,50859
59285,INHIBITION,5499
4616,INHIBITION,85417
135941,INHIBITION,408
4085,INHIBITION,991
26235,INHIBITION,26234
285231,INHIBITION,26270
8863,INHIBITION,9978
157,INHIBITION,392392
26333,INHIBITION,5566
2033,INHIBITION,7314
5568,INHIBITION,219436
5500,INHIBITION,94274
2792,INHIBITION,108
10454,INHIBITION,7128
3845,INHIBITION,2244
5880,INHIBITION,23654
7428,INHIBITION,4738
338398,INHIBITION,126006
338662,INHIBITION,409
122748,INHIBITION,5566
3454,INHIBITION,6773
149951,INHIBITION,150684
23142,INHIBITION,222235
8321,INHIBITION,54361
3626,INHIBITION,10468
389541,INHIBITION,1977
9099,INHIBITION,8517
26043,INHIBITION,28952
156,INHIBITION,26212
84961,INHIBITION,126433
23236,INHIBITION,5593
643,INHIBITION,26086
6502,INHIBITION,26232
282770,INHIBITION,5568
27327,INHIBITION,8331
899,INHIBITION,26190
54461,INHIBITION,222235
26270,INHIBITION,170622
80854,INHIBITION,2309
84259,INHIBITION,114907
25847,INHIBITION,10459
2905,INHIBITION,5500
1977,INHIBITION,6009
29108,INHIBITION,152138
127064,INHIBITION,5568
1512,INHIBITION,598
5567,INHIBITION,4715
1857,INHIBITION,8312
23412,INHIBITION,84085
814,INHIBITION,196883
83667,INHIBITION,79726
6423,INHIBITION,4040
196883,INHIBITION,2791
4869,INHIBITION,4839
28991,INHIBITION,84085
28991,INHIBITION,114907
162998,INHIBITION,5567
64837,INHIBITION,23207
3449,INHIBITION,3443
130399,INHIBITION,7044
899,INHIBITION,23194
150681,INHIBITION,157
6921,INHIBITION,7314
8945,INHIBITION,146330
2205,INHIBITION,2353
8312,INHIBITION,1856
26086,INHIBITION,259296
329,INHIBITION,9020
8651,INHIBITION,3643
5526,INHIBITION,10368
63940,INHIBITION,150
7072,INHIBITION,2963
26086,INHIBITION,6755
5577,INHIBITION,5747
2162,INHIBITION,5270
5881,INHIBITION,5365
2549,INHIBITION,4233
219447,INHIBITION,5567
29899,INHIBITION,55970
778,INHIBITION,2793
7042,INHIBITION,3624
11140,INHIBITION,1956
5528,INHIBITION,2932
5567,INHIBITION,119749
390168,INHIBITION,157
1029,INHIBITION,1021
9967,INHIBITION,3952
8844,INHIBITION,10827
84961,INHIBITION,23142
201456,INHIBITION,55294
4893,INHIBITION,5595
7480,INHIBITION,9350
26232,INHIBITION,285231
7322,INHIBITION,28991
26086,INHIBITION,4987
5521,INHIBITION,51135
408,INHIBITION,81309
10368,INHIBITION,5523
7477,INHIBITION,11197
63940,INHIBITION,23566
192669,INHIBITION,4851
6198,INHIBITION,6257
170622,INHIBITION,28991
54951,INHIBITION,285231
2253,INHIBITION,2264
10517,INHIBITION,26224
6775,INHIBITION,10401
156,INHIBITION,403284
4853,INHIBITION,10959
23142,INHIBITION,26043
441669,INHIBITION,5568
1445,INHIBITION,604
5934,INHIBITION,1874
5594,INHIBITION,5577
222235,INHIBITION,29099
861,INHIBITION,6688
5795,INHIBITION,3932
55294,INHIBITION,79176
55669,INHIBITION,5071
1454,INHIBITION,10971
4791,INHIBITION,28512
2791,INHIBITION,111
59345,INHIBITION,63940
5566,INHIBITION,390162
54939,INHIBITION,222235
409,INHIBITION,126541
3456,INHIBITION,6773
255725,INHIBITION,409
1499,INHIBITION,1855
157,INHIBITION,390275
54939,INHIBITION,3091
409,INHIBITION,347468
5879,INHIBITION,2047
7186,INHIBITION,8742
3265,INHIBITION,9444
26235,INHIBITION,23412
6633,INHIBITION,10772
10827,INHIBITION,5037
4088,INHIBITION,7048
4092,INHIBITION,4093
5562,INHIBITION,3991
5606,INHIBITION,5037
598,INHIBITION,1513
2064,INHIBITION,1500
51230,INHIBITION,7157
23194,INHIBITION,123879
119692,INHIBITION,408
1978,INHIBITION,253314
3952,INHIBITION,9443
150684,INHIBITION,2034
157,INHIBITION,119774
409,INHIBITION,119749
23142,INHIBITION,6921
4986,INHIBITION,126006
1500,INHIBITION,3480
219469,INHIBITION,408
157,INHIBITION,8392
5515,INHIBITION,5595
3596,INHIBITION,240
442191,INHIBITION,157
409,INHIBITION,26212
5436,INHIBITION,7072
156,INHIBITION,127062
10000,INHIBITION,8473
115,INHIBITION,2792
23643,INHIBITION,929
7004,INHIBITION,7003
126433,INHIBITION,54850
5500,INHIBITION,781
25793,INHIBITION,123879
28991,INHIBITION,26234
84259,INHIBITION,6923
10010,INHIBITION,5781
3561,INHIBITION,8651
8823,INHIBITION,2252
7474,INHIBITION,4040
28227,INHIBITION,27092
8945,INHIBITION,55294
9586,INHIBITION,1387
1026,INHIBITION,865
2773,INHIBITION,113
3265,INHIBITION,5979
91750,INHIBITION,5933
147945,INHIBITION,81030
26267,INHIBITION,54165
9133,INHIBITION,10393
256144,INHIBITION,5566
222235,INHIBITION,285231
54939,INHIBITION,7311
5567,INHIBITION,2932
408,INHIBITION,125963
207,INHIBITION,5525
54361,INHIBITION,7471
4862,INHIBITION,1454
219493,INHIBITION,157
5568,INHIBITION,128367
1071,INHIBITION,319
7409,INHIBITION,5879
26270,INHIBITION,79176
23207,INHIBITION,147700
5176,INHIBITION,4041
701,INHIBITION,25847
84961,INHIBITION,29099
776,INHIBITION,5499
1390,INHIBITION,90993
653,INHIBITION,9241
356,INHIBITION,6774
390437,INHIBITION,5568
5566,INHIBITION,138881
26740,INHIBITION,5568
26190,INHIBITION,283807
2770,INHIBITION,6616
8936,INHIBITION,3071
9134,INHIBITION,1026
2255,INHIBITION,2247
29899,INHIBITION,56477
3717,INHIBITION,3458
27091,INHIBITION,5519
4887,INHIBITION,63940
5894,INHIBITION,7529
899,INHIBITION,51397
63940,INHIBITION,2826
5523,INHIBITION,59284
2147,INHIBITION,2244
3178,INHIBITION,5440
140,INHIBITION,126006
10454,INHIBITION,1432
896,INHIBITION,1026
1445,INHIBITION,8844
8453,INHIBITION,6233
4001,INHIBITION,835
5438,INHIBITION,5436
3625,INHIBITION,10468
6323,INHIBITION,94235
5567,INHIBITION,3765
2912,INHIBITION,63940
409,INHIBITION,390113
329,INHIBITION,1515
864,INHIBITION,1499
10014,INHIBITION,814
26086,INHIBITION,351
63940,INHIBITION,6288
6233,INHIBITION,23142
409,INHIBITION,81328
6424,INHIBITION,7855
126006,INHIBITION,259287
3586,INHIBITION,2919
10383,INHIBITION,402
409,INHIBITION,390157
3456,INHIBITION,3452
5567,INHIBITION,26707
6778,INHIBITION,8554
5894,INHIBITION,5908
8454,INHIBITION,54850
55336,INHIBITION,84085
165140,INHIBITION,126006
157,INHIBITION,283159
2891,INHIBITION,7102
29899,INHIBITION,187
26735,INHIBITION,408
1540,INHIBITION,1147
127068,INHIBITION,409
23412,INHIBITION,150684
7316,INHIBITION,149951
3993,INHIBITION,7337
2077,INHIBITION,2114
5568,INHIBITION,26737
407,INHIBITION,9630
26212,INHIBITION,5568
219968,INHIBITION,408
8322,INHIBITION,6423
26532,INHIBITION,5568
775,INHIBITION,2771
152831,INHIBITION,10818
7124,INHIBITION,7128
5567,INHIBITION,4723
1019,INHIBITION,3065
23194,INHIBITION,26268
5434,INHIBITION,5441
144699,INHIBITION,54939
54165,INHIBITION,26190
29899,INHIBITION,1236
387748,INHIBITION,5567
81858,INHIBITION,8737
5566,INHIBITION,2737
2069,INHIBITION,55738
5566,INHIBITION,5350
140465,INHIBITION,5501
5054,INHIBITION,60436
54939,INHIBITION,6500
79317,INHIBITION,5567
3005,INHIBITION,57634
6776,INHIBITION,10401
3444,INHIBITION,5781
23235,INHIBITION,5568
329,INHIBITION,7375
256933,INHIBITION,126006
26267,INHIBITION,26235
4838,INHIBITION,3625
8454,INHIBITION,8945
2783,INHIBITION,26086
9776,INHIBITION,5566
27092,INHIBITION,5499
5986,INHIBITION,4851
8697,INHIBITION,898
9350,INHIBITION,7481
26086,INHIBITION,2550
